GN_ID,Gene_Name,log2FC(insoluble/soluble protein ratio),-LOG10(P-VALUE),Prefix,UniProt_ID,UniProt_Name,Direction
Fnbp1_tr|A2AQ43|A2AQ43_MOUSE,Fnbp1,-1.5787183887677,2.6619344539318,Fnbp1_tr,A2AQ43,A2AQ43_MOUSE,down
Trak1_sp|Q6PD31|TRAK1_MOUSE,Trak1,-1.35486524822161,2.53178668626281,Trak1_sp,Q6PD31,TRAK1_MOUSE,down
Fnbp1_tr|A2AQ43|A2AQ43_MOUSE,Fnbp1,-1.38473971476823,2.49340030403341,Fnbp1_tr,A2AQ43,A2AQ43_MOUSE,down
Cox4i2_sp|Q91W29|COX42_MOUSE,Cox4i2,-1.38520085952827,2.42269833742507,Cox4i2_sp,Q91W29,COX42_MOUSE,down
Ccdc90b_sp|Q8C3X2|CC90B_MOUSE,Ccdc90b,-1.51773549979925,2.30871251980596,Ccdc90b_sp,Q8C3X2,CC90B_MOUSE,down
Igj_sp|P01592|IGJ_MOUSE,Igj,-1.05319235963166,2.23092638609119,Igj_sp,P01592,IGJ_MOUSE,down
Camk2a_sp|P11798|KCC2A_MOUSE,Camk2a,-1.06970539210468,2.22209978768497,Camk2a_sp,P11798,KCC2A_MOUSE,down
Apcs_sp|P12246|SAMP_MOUSE,Apcs,-2.4631023684906,2.21964481611713,Apcs_sp,P12246,SAMP_MOUSE,down
Erlin1_sp|Q91X78|ERLN1_MOUSE,Erlin1,-3.28941270965024,2.18748185598474,Erlin1_sp,Q91X78,ERLN1_MOUSE,down
Erlin2_sp|Q8BFZ9|ERLN2_MOUSE,Erlin2,-3.09802173779618,2.1820302409212,Erlin2_sp,Q8BFZ9,ERLN2_MOUSE,down
Camk2a_sp|P11798-2|KCC2A_MOUSE,Camk2a,-1.16078632329461,2.10262263333986,Camk2a_sp,P11798-2,KCC2A_MOUSE,down
