"","ontology_id","ontology_name","nr_common_with_tested_elements","p_value","adjusted_p_value","gene_in_pathway","protein"
"11","M47970","KEGG_MEDICUS_REFERENCE_MITOCHONDRIAL_COMPLEX_UCP1_IN_THERMOGENESIS",8,0.00214377633590428,0.038587974046277,"Atp5a1#Atp5d#Atp5o#Cox15#Cox20#Cox4i1#Cox5a#Cox6b1","Atp5a1_sp|Q03265|ATPA_MOUSE#Atp5d_sp|Q9D3D9|ATPD_MOUSE#Atp5o_sp|Q9DB20|ATPO_MOUSE#Cox15_sp|Q8BJ03|COX15_MOUSE#Cox20_sp|Q9D7J4|COX20_MOUSE#Cox4i1_sp|P19783|COX41_MOUSE#Cox5a_sp|P12787|COX5A_MOUSE#Cox6b1_sp|P56391|CX6B1_MOUSE"
"12","M47675","KEGG_MEDICUS_REFERENCE_MGLUR5_CA2_APOPTOTIC_PATHWAY",5,0.00394068091256619,0.0410660431941108,"Itpr1#Itpr2#Mcu#Vdac2#Vdac3","Itpr1_sp|P11881|ITPR1_MOUSE#Itpr2_sp|Q9Z329|ITPR2_MOUSE#Mcu_sp|Q3UMR5|MCU_MOUSE#Vdac2_sp|Q60930|VDAC2_MOUSE#Vdac3_sp|Q60931|VDAC3_MOUSE"
"13","M47676","KEGG_MEDICUS_VARIANT_MUTATION_CAUSED_ABERRANT_HTT_TO_MGLUR5_CA2_APOPTOTIC_PATHWAY",5,0.00394068091256619,0.0410660431941108,"Itpr1#Itpr2#Mcu#Vdac2#Vdac3","Itpr1_sp|P11881|ITPR1_MOUSE#Itpr2_sp|Q9Z329|ITPR2_MOUSE#Mcu_sp|Q3UMR5|MCU_MOUSE#Vdac2_sp|Q60930|VDAC2_MOUSE#Vdac3_sp|Q60931|VDAC3_MOUSE"
"14","M47688","KEGG_MEDICUS_REFERENCE_MACHR_CA2_APOPTOTIC_PATHWAY",5,0.00394068091256619,0.0410660431941108,"Itpr1#Itpr2#Mcu#Vdac2#Vdac3","Itpr1_sp|P11881|ITPR1_MOUSE#Itpr2_sp|Q9Z329|ITPR2_MOUSE#Mcu_sp|Q3UMR5|MCU_MOUSE#Vdac2_sp|Q60930|VDAC2_MOUSE#Vdac3_sp|Q60931|VDAC3_MOUSE"
"15","M47689","KEGG_MEDICUS_VARIANT_MUTATION_CAUSED_ABERRANT_ABETA_TO_MACHR_CA2_APOPTOTIC_PATHWAY",5,0.00394068091256619,0.0410660431941108,"Itpr1#Itpr2#Mcu#Vdac2#Vdac3","Itpr1_sp|P11881|ITPR1_MOUSE#Itpr2_sp|Q9Z329|ITPR2_MOUSE#Mcu_sp|Q3UMR5|MCU_MOUSE#Vdac2_sp|Q60930|VDAC2_MOUSE#Vdac3_sp|Q60931|VDAC3_MOUSE"
"16","M47690","KEGG_MEDICUS_VARIANT_MUTATION_CAUSED_ABERRANT_ABETA_TO_MGLUR5_CA2_APOPTOTIC_PATHWAY",5,0.00394068091256619,0.0410660431941108,"Itpr1#Itpr2#Mcu#Vdac2#Vdac3","Itpr1_sp|P11881|ITPR1_MOUSE#Itpr2_sp|Q9Z329|ITPR2_MOUSE#Mcu_sp|Q3UMR5|MCU_MOUSE#Vdac2_sp|Q60930|VDAC2_MOUSE#Vdac3_sp|Q60931|VDAC3_MOUSE"
"17","M47696","KEGG_MEDICUS_VARIANT_MUTATION_CAUSED_ABERRANT_PSEN1_TO_MGLUR5_CA2_APOPTOTIC_PATHWAY",5,0.00394068091256619,0.0410660431941108,"Itpr1#Itpr2#Mcu#Vdac2#Vdac3","Itpr1_sp|P11881|ITPR1_MOUSE#Itpr2_sp|Q9Z329|ITPR2_MOUSE#Mcu_sp|Q3UMR5|MCU_MOUSE#Vdac2_sp|Q60930|VDAC2_MOUSE#Vdac3_sp|Q60931|VDAC3_MOUSE"
"18","M47751","KEGG_MEDICUS_VARIANT_MUTATION_INACTIVATED_SIGMAR1_TO_CA2_APOPTOTIC_PATHWAY",5,0.00394068091256619,0.0410660431941108,"Itpr1#Itpr2#Mcu#Vdac2#Vdac3","Itpr1_sp|P11881|ITPR1_MOUSE#Itpr2_sp|Q9Z329|ITPR2_MOUSE#Mcu_sp|Q3UMR5|MCU_MOUSE#Vdac2_sp|Q60930|VDAC2_MOUSE#Vdac3_sp|Q60931|VDAC3_MOUSE"
"19","M47760","KEGG_MEDICUS_VARIANT_SCRAPIE_CONFORMATION_PRPSC_TO_MGLUR5_CA2_APOPTOTIC_PATHWAY",5,0.00394068091256619,0.0410660431941108,"Itpr1#Itpr2#Mcu#Vdac2#Vdac3","Itpr1_sp|P11881|ITPR1_MOUSE#Itpr2_sp|Q9Z329|ITPR2_MOUSE#Mcu_sp|Q3UMR5|MCU_MOUSE#Vdac2_sp|Q60930|VDAC2_MOUSE#Vdac3_sp|Q60931|VDAC3_MOUSE"
"20","M47659","KEGG_MEDICUS_VARIANT_MUTATION_CAUSED_ABBERANT_ATXN2_3_TO_MGLUR5_CA2_APOPTOTIC_PATHWAY",4,0.00644872490145326,0.0638423765243873,"Itpr1#Mcu#Vdac2#Vdac3","Itpr1_sp|P11881|ITPR1_MOUSE#Mcu_sp|Q3UMR5|MCU_MOUSE#Vdac2_sp|Q60930|VDAC2_MOUSE#Vdac3_sp|Q60931|VDAC3_MOUSE"
